Player 1,Player 2,Player 1 Ranking,Player 2 Ranking,Player 1 Age,Player 2 Age,Player 1 Points,Player 2 Points,Round,Tournament,Surface,Match Length,Date,Probability Player 1 Wins
Federico Delbonis,Miomir Kecmanovic,79,47,29,21,711,"1,028",Quarter-Finals,Kitzbuhel,Clay,BO3,08/09/2020,0
Marc-Andrea Huesler,Fabio Fognini,303,12,24,33,139,"2,400",Round of 16,Kitzbuhel,Clay,BO3,08/09/2020,1
Sebastian Ofner,Diego Schwartzman,159,13,24,28,341,"2,265",Round of 16,Kitzbuhel,Clay,BO3,08/09/2020,0
Yannick Hanfmann,Dusan Lajovic,118,24,28,30,486,"1,695",Round of 16,Kitzbuhel,Clay,BO3,08/09/2020,1
Nikoloz Basilashvili,Federico Delbonis,30,79,28,29,"1,395",711,Round of 16,Kitzbuhel,Clay,BO3,08/09/2020,0
Maximilian Marterer,Hubert Hurkacz,337,33,25,23,118,"1,353",Round of 16,Kitzbuhel,Clay,BO3,08/09/2020,1
Feliciano Lopez,Guido Pella,57,36,38,30,908,"1,310",Round of 16,Kitzbuhel,Clay,BO3,08/09/2020,1
Jannik Sinner,Laslo Djere,74,81,19,25,733,705,Round of 16,Kitzbuhel,Clay,BO3,08/09/2020,0
Jordan Thompson,Miomir Kecmanovic,63,47,26,21,829,"1,028",Round of 16,Kitzbuhel,Clay,BO3,08/09/2020,0
Hubert Hurkacz,Joao Sousa,33,68,23,31,"1,353",776,Round of 32,Kitzbuhel,Clay,BO3,08/09/2020,1
Miomir Kecmanovic,Kei Nishikori,47,34,21,30,"1,028","1,345",Round of 32,Kitzbuhel,Clay,BO3,08/09/2020,1
Guido Pella,Yoshihito Nishioka,36,49,30,24,"1,310","1,007",Round of 32,Kitzbuhel,Clay,BO3,08/09/2020,1
Laslo Djere,Albert Ramos-Vinolas,81,41,25,32,705,"1,130",Round of 32,Kitzbuhel,Clay,BO3,08/09/2020,1
Juan Ignacio Londero,Federico Delbonis,62,79,27,29,832,711,Round of 32,Kitzbuhel,Clay,BO3,08/09/2020,0
Yannick Hanfmann,Alexander Bublik,118,54,28,23,486,965,Round of 32,Kitzbuhel,Clay,BO3,08/09/2020,1
Marc-Andrea Huesler,Emil Ruusuvuori,303,92,24,21,139,648,Round of 32,Kitzbuhel,Clay,BO3,08/09/2020,1
Feliciano Lopez,Pierre-Hugues Herbert,57,69,38,29,908,775,Round of 32,Kitzbuhel,Clay,BO3,08/09/2020,1
Dennis Novak,Maximilian Marterer,85,337,27,25,695,118,Round of 32,Kitzbuhel,Clay,BO3,08/09/2020,0
Radu Albot,Sebastian Ofner,70,159,30,24,772,341,Round of 32,Kitzbuhel,Clay,BO3,08/09/2020,0
Philipp Kohlschreiber,Jannik Sinner,75,74,36,19,729,733,Round of 32,Kitzbuhel,Clay,BO3,08/09/2020,0
Jordan Thompson,John Millman,63,43,26,31,829,"1,096",Round of 32,Kitzbuhel,Clay,BO3,08/09/2020,1
Leandro Riedi,Pierre-Hugues Herbert,1327T,69,18,29,3,775,2nd Round Qualifying,Kitzbuhel,Clay,BO3,08/09/2020,0
Maximilian Marterer,Egor Gerasimov,337,72,25,27,118,744,2nd Round Qualifying,Kitzbuhel,Clay,BO3,08/09/2020,1
Federico Delbonis,Jurij Rodionov,79,172,29,21,711,314,2nd Round Qualifying,Kitzbuhel,Clay,BO3,08/09/2020,1
Andreas Seppi,Laslo Djere,89,81,36,25,671,705,2nd Round Qualifying,Kitzbuhel,Clay,BO3,08/09/2020,0
Yannick Hanfmann,Thiago Monteiro,118,83,28,26,486,700,2nd Round Qualifying,Kitzbuhel,Clay,BO3,08/09/2020,1
Prajnesh Gunneswaran,Marc-Andrea Huesler,136,303,30,24,405,139,2nd Round Qualifying,Kitzbuhel,Clay,BO3,08/09/2020,0
Pierre-Hugues Herbert,Maxime Cressy,69,168,29,23,775,320,1st Round Qualifying,Kitzbuhel,Clay,BO3,08/09/2020,1
Egor Gerasimov,Alexander Erler,72,494,27,22,744,62,1st Round Qualifying,Kitzbuhel,Clay,BO3,08/09/2020,1
Marc-Andrea Huesler,Attila Balazs,303,78,24,31,139,715,1st Round Qualifying,Kitzbuhel,Clay,BO3,08/09/2020,1
Matthias Bachinger,Federico Delbonis,270,79,33,29,175,711,1st Round Qualifying,Kitzbuhel,Clay,BO3,08/09/2020,0
Laslo Djere,Viktor Galovic,81,267,25,29,705,177,1st Round Qualifying,Kitzbuhel,Clay,BO3,08/09/2020,1
Lucas Miedler,Thiago Monteiro,295,83,24,26,142,700,1st Round Qualifying,Kitzbuhel,Clay,BO3,08/09/2020,0
Andreas Seppi,Max Purcell,89,220,36,22,671,233,1st Round Qualifying,Kitzbuhel,Clay,BO3,08/09/2020,1
Maximilian Marterer,Dominik Koepfer,337,91,25,26,118,652,1st Round Qualifying,Kitzbuhel,Clay,BO3,08/09/2020,1
Leandro Riedi,Andrej Martin,1327T,98,18,30,3,638,1st Round Qualifying,Kitzbuhel,Clay,BO3,08/09/2020,1
Ernests Gulbis,Yannick Hanfmann,158,118,32,28,341,486,1st Round Qualifying,Kitzbuhel,Clay,BO3,08/09/2020,0
Prajnesh Gunneswaran,Sandro Kopp,136,777,30,20,405,21,1st Round Qualifying,Kitzbuhel,Clay,BO3,08/09/2020,1
Jurij Rodionov,Luke Saville,172,352,21,26,314,110,1st Round Qualifying,Kitzbuhel,Clay,BO3,08/09/2020,1
Diego Schwartzman,Novak Djokovic,15,1,28,33,"2,265","10,860",Finals,ATP Masters 1000 Rome,Clay,BO3,14/09/2020,0
Casper Ruud,Novak Djokovic,34,1,21,33,"1,359","10,860",Semi-Finals,ATP Masters 1000 Rome,Clay,BO3,14/09/2020,0
Denis Shapovalov,Diego Schwartzman,14,15,21,28,"2,345","2,265",Semi-Finals,ATP Masters 1000 Rome,Clay,BO3,14/09/2020,0
Novak Djokovic,Dominik Koepfer,1,97,33,26,"10,860",652,Quarter-Finals,ATP Masters 1000 Rome,Clay,BO3,14/09/2020,1
Diego Schwartzman,Rafael Nadal,15,2,28,34,"2,265","9,850",Quarter-Finals,ATP Masters 1000 Rome,Clay,BO3,14/09/2020,1
Matteo Berrettini,Casper Ruud,8,34,24,21,"2,940","1,359",Quarter-Finals,ATP Masters 1000 Rome,Clay,BO3,14/09/2020,0
Grigor Dimitrov,Denis Shapovalov,22,14,29,21,"1,885","2,345",Quarter-Finals,ATP Masters 1000 Rome,Clay,BO3,14/09/2020,0
Novak Djokovic,Filip Krajinovic,1,29,33,28,"10,860","1,583",Round of 16,ATP Masters 1000 Rome,Clay,BO3,14/09/2020,1
Dusan Lajovic,Rafael Nadal,25,2,30,34,"1,695","9,850",Round of 16,ATP Masters 1000 Rome,Clay,BO3,14/09/2020,0
Matteo Berrettini,Stefano Travaglia,8,84,24,28,"2,940",719,Round of 16,ATP Masters 1000 Rome,Clay,BO3,14/09/2020,1
Hubert Hurkacz,Diego Schwartzman,31,15,23,28,"1,398","2,265",Round of 16,ATP Masters 1000 Rome,Clay,BO3,14/09/2020,0
Denis Shapovalov,Ugo Humbert,14,42,21,22,"2,345","1,146",Round of 16,ATP Masters 1000 Rome,Clay,BO3,14/09/2020,1
Grigor Dimitrov,Jannik Sinner,22,81,29,19,"1,885",743,Round of 16,ATP Masters 1000 Rome,Clay,BO3,14/09/2020,1
Dominik Koepfer,Lorenzo Musetti,97,249,26,18,652,207,Round of 16,ATP Masters 1000 Rome,Clay,BO3,14/09/2020,1
Marin Cilic,Casper Ruud,40,34,31,21,"1,225","1,359",Round of 16,ATP Masters 1000 Rome,Clay,BO3,14/09/2020,0
Novak Djokovic,Salvatore Caruso,1,87,33,27,"10,860",703,Round of 32,ATP Masters 1000 Rome,Clay,BO3,14/09/2020,1
Pablo Carreno Busta,Rafael Nadal,18,2,29,34,"2,130","9,850",Round of 32,ATP Masters 1000 Rome,Clay,BO3,14/09/2020,0
Jannik Sinner,Stefanos Tsitsipas,81,6,19,22,743,"5,175",Round of 32,ATP Masters 1000 Rome,Clay,BO3,14/09/2020,1
Federico Coria,Matteo Berrettini,104,8,28,24,607,"2,940",Round of 32,ATP Masters 1000 Rome,Clay,BO3,14/09/2020,0
Dominik Koepfer,Gael Monfils,97,9,26,34,652,"2,860",Round of 32,ATP Masters 1000 Rome,Clay,BO3,14/09/2020,1
David Goffin,Marin Cilic,11,40,29,31,"2,555","1,225",Round of 32,ATP Masters 1000 Rome,Clay,BO3,14/09/2020,0
Fabio Fognini,Ugo Humbert,13,42,33,22,"2,400","1,146",Round of 32,ATP Masters 1000 Rome,Clay,BO3,14/09/2020,0
John Millman,Diego Schwartzman,43,15,31,28,"1,131","2,265",Round of 32,ATP Masters 1000 Rome,Clay,BO3,14/09/2020,0
Andrey Rublev,Hubert Hurkacz,12,31,22,23,"2,414","1,398",Round of 32,ATP Masters 1000 Rome,Clay,BO3,14/09/2020,0
Pedro Martinez,Denis Shapovalov,109,14,23,21,548,"2,345",Round of 32,ATP Masters 1000 Rome,Clay,BO3,14/09/2020,0
Dusan Lajovic,Milos Raonic,25,19,30,29,"1,695","1,995",Round of 32,ATP Masters 1000 Rome,Clay,BO3,14/09/2020,1
Yoshihito Nishioka,Grigor Dimitrov,50,22,24,29,"1,007","1,885",Round of 32,ATP Masters 1000 Rome,Clay,BO3,14/09/2020,0
Marco Cecchinato,Filip Krajinovic,113,29,27,28,526,"1,583",Round of 32,ATP Masters 1000 Rome,Clay,BO3,14/09/2020,0
Lorenzo Musetti,Kei Nishikori,249,35,18,30,207,"1,345",Round of 32,ATP Masters 1000 Rome,Clay,BO3,14/09/2020,1
Casper Ruud,Lorenzo Sonego,34,47,21,25,"1,359","1,030",Round of 32,ATP Masters 1000 Rome,Clay,BO3,14/09/2020,1
Borna Coric,Stefano Travaglia,26,84,23,28,"1,670",719,Round of 32,ATP Masters 1000 Rome,Clay,BO3,14/09/2020,0
Andrey Rublev,Facundo Bagnis,12,135,22,30,"2,414",426,Round of 64,ATP Masters 1000 Rome,Clay,BO3,14/09/2020,1
Stan Wawrinka,Lorenzo Musetti,17,249,35,18,"2,185",207,Round of 64,ATP Masters 1000 Rome,Clay,BO3,14/09/2020,0
Casper Ruud,Karen Khachanov,34,16,21,24,"1,359","2,200",Round of 64,ATP Masters 1000 Rome,Clay,BO3,14/09/2020,1
Denis Shapovalov,Guido Pella,14,37,21,30,"2,345","1,310",Round of 64,ATP Masters 1000 Rome,Clay,BO3,14/09/2020,1
