Player 1,Player 2,Player 1 Ranking,Player 2 Ranking,Player 1 Age,Player 2 Age,Player 1 Points,Player 2 Points,Round,Tournament,Surface,Match Length,Date,Probability Player 1 Wins
Jannik Sinner,Fabian Marozsan,1,45,22,24,"9,480",997,Round of 16,Halle,Grass,BO3,17/06/2024,1
Alexander Zverev,Lorenzo Sonego,4,57,27,29,"6,885",861,Round of 16,Halle,Grass,BO3,17/06/2024,1
Zhizhen Zhang,Daniil Medvedev,42,5,27,28,"1,066","6,485",Round of 16,Halle,Grass,BO3,17/06/2024,1
Hubert Hurkacz,James Duckworth,9,88,27,32,"3,950",665,Round of 16,Halle,Grass,BO3,17/06/2024,1
Jan-Lennard Struff,Stefanos Tsitsipas,41,11,34,25,"1,080","3,740",Round of 16,Halle,Grass,BO3,17/06/2024,1
Alexander Bublik,Christopher Eubanks,17,44,27,28,"2,180","1,005",Round of 16,Halle,Grass,BO3,17/06/2024,0
Dominik Koepfer,Arthur Fils,70,37,30,20,781,"1,170",Round of 16,Halle,Grass,BO3,17/06/2024,0
Marcos Giron,Matteo Berrettini,53,65,30,28,925,795,Round of 16,Halle,Grass,BO3,17/06/2024,1
Jannik Sinner,Tallon Griekspoor,1,27,22,27,"9,480","1,540",Round of 32,Halle,Grass,BO3,17/06/2024,1
Oscar Otte,Alexander Zverev,474,4,30,27,92,"6,885",Round of 32,Halle,Grass,BO3,17/06/2024,0
Nuno Borges,Daniil Medvedev,51,5,27,28,936,"6,485",Round of 32,Halle,Grass,BO3,17/06/2024,0
Andrey Rublev,Marcos Giron,6,53,26,30,"4,710",925,Round of 32,Halle,Grass,BO3,17/06/2024,0
Hubert Hurkacz,Flavio Cobolli,9,49,27,22,"3,950",955,Round of 32,Halle,Grass,BO3,17/06/2024,1
Henri Squire,Stefanos Tsitsipas,181,11,23,25,344,"3,740",Round of 32,Halle,Grass,BO3,17/06/2024,0
Alexander Bublik,Max Purcell,17,101,27,26,"2,180",612,Round of 32,Halle,Grass,BO3,17/06/2024,1
Felix Auger-Aliassime,Dominik Koepfer,18,70,23,30,"2,075",781,Round of 32,Halle,Grass,BO3,17/06/2024,0
Alex Michelsen,Matteo Berrettini,61,65,19,28,829,795,Round of 32,Halle,Grass,BO3,17/06/2024,0
James Duckworth,Joao Fonseca,88,217,32,17,665,283,Round of 32,Halle,Grass,BO3,17/06/2024,1
Christopher Eubanks,Pedro Martinez,44,46,28,27,"1,005",975,Round of 32,Halle,Grass,BO3,17/06/2024,1
Tomas Machac,Arthur Fils,36,37,23,20,"1,214","1,170",Round of 32,Halle,Grass,BO3,17/06/2024,0
Roman Safiullin,Fabian Marozsan,40,45,26,24,"1,097",997,Round of 32,Halle,Grass,BO3,17/06/2024,0
Miomir Kecmanovic,Lorenzo Sonego,54,57,24,29,920,861,Round of 32,Halle,Grass,BO3,17/06/2024,0
Jan-Lennard Struff,Luciano Darderi,41,34,34,22,"1,080","1,231",Round of 32,Halle,Grass,BO3,17/06/2024,1
Zhizhen Zhang,Sebastian Ofner,42,52,27,28,"1,066",933,Round of 32,Halle,Grass,BO3,17/06/2024,1
James Duckworth,Corentin Moutet,88,55,32,25,665,875,2nd Round Qualifying,Halle,Grass,BO3,17/06/2024,1
Alex Michelsen,Yannick Hanfmann,61,92,19,32,829,646,2nd Round Qualifying,Halle,Grass,BO3,17/06/2024,1
Max Purcell,Roberto Bautista Agut,101,83,26,36,612,685,2nd Round Qualifying,Halle,Grass,BO3,17/06/2024,1
Oscar Otte,Constant Lestienne,474,91,30,32,92,655,2nd Round Qualifying,Halle,Grass,BO3,17/06/2024,1
Valentin Vacherot,Corentin Moutet,112,55,25,25,575,875,1st Round Qualifying,Halle,Grass,BO3,17/06/2024,0
Alexander Shevchenko,Max Purcell,58,101,23,26,860,612,1st Round Qualifying,Halle,Grass,BO3,17/06/2024,0
Alex Michelsen,Max Hans Rehberg,61,454,19,20,829,99,1st Round Qualifying,Halle,Grass,BO3,17/06/2024,1
Jakub Mensik,Oscar Otte,81,474,18,30,688,92,1st Round Qualifying,Halle,Grass,BO3,17/06/2024,0
Roberto Bautista Agut,Pierre-Hugues Herbert,83,138,36,33,685,455,1st Round Qualifying,Halle,Grass,BO3,17/06/2024,1
Louis Wessels,Constant Lestienne,385,91,25,32,126,655,1st Round Qualifying,Halle,Grass,BO3,17/06/2024,0
Adam Walton,Yannick Hanfmann,107,92,25,32,594,646,1st Round Qualifying,Halle,Grass,BO3,17/06/2024,0
Aslan Karatsev,James Duckworth,97,88,30,32,625,665,1st Round Qualifying,Halle,Grass,BO3,17/06/2024,0
Lorenzo Musetti,Tommy Paul,30,13,22,27,"1,380","2,750",Finals,London / Queen's Club,Grass,BO3,17/06/2024,0
Sebastian Korda,Tommy Paul,23,13,23,27,"1,775","2,750",Semi-Finals,London / Queen's Club,Grass,BO3,17/06/2024,0
Lorenzo Musetti,Jordan Thompson,30,43,22,30,"1,380","1,051",Semi-Finals,London / Queen's Club,Grass,BO3,17/06/2024,1
Jordan Thompson,Taylor Fritz,43,12,30,26,"1,051","3,090",Quarter-Finals,London / Queen's Club,Grass,BO3,17/06/2024,1
Tommy Paul,Jack Draper,13,31,27,22,"2,750","1,371",Quarter-Finals,London / Queen's Club,Grass,BO3,17/06/2024,1
Rinky Hijikata,Sebastian Korda,98,23,23,23,622,"1,775",Quarter-Finals,London / Queen's Club,Grass,BO3,17/06/2024,0
Billy Harris,Lorenzo Musetti,162,30,29,22,366,"1,380",Quarter-Finals,London / Queen's Club,Grass,BO3,17/06/2024,0
Carlos Alcaraz,Jack Draper,2,31,21,22,"8,580","1,371",Round of 16,London / Queen's Club,Grass,BO3,17/06/2024,0
Sebastian Korda,Grigor Dimitrov,23,10,23,33,"1,775","3,775",Round of 16,London / Queen's Club,Grass,BO3,17/06/2024,1
Taylor Fritz,Milos Raonic,12,186,26,33,"3,090",335,Round of 16,London / Queen's Club,Grass,BO3,17/06/2024,1
Tommy Paul,Alejandro Tabilo,13,24,27,27,"2,750","1,639",Round of 16,London / Queen's Club,Grass,BO3,17/06/2024,1
Giovanni Mpetshi Perricard,Billy Harris,67,162,20,29,787,366,Round of 16,London / Queen's Club,Grass,BO3,17/06/2024,0
Matteo Arnaldi,Rinky Hijikata,35,98,23,23,"1,220",622,Round of 16,London / Queen's Club,Grass,BO3,17/06/2024,0
Lorenzo Musetti,Brandon Nakashima,30,63,22,22,"1,380",820,Round of 16,London / Queen's Club,Grass,BO3,17/06/2024,1
Jordan Thompson,Andy Murray,43,129,30,37,"1,051",498,Round of 16,London / Queen's Club,Grass,BO3,17/06/2024,1
Francisco Cerundolo,Carlos Alcaraz,26,2,25,21,"1,610","8,580",Round of 32,London / Queen's Club,Grass,BO3,17/06/2024,0
Lorenzo Musetti,Alex de Minaur,30,7,22,25,"1,380","4,085",Round of 32,London / Queen's Club,Grass,BO3,17/06/2024,1
Adrian Mannarino,Grigor Dimitrov,21,10,35,33,"1,845","3,775",Round of 32,London / Queen's Club,Grass,BO3,17/06/2024,0
Taro Daniel,Taylor Fritz,85,12,31,26,680,"3,090",Round of 32,London / Queen's Club,Grass,BO3,17/06/2024,0
Sebastian Baez,Tommy Paul,19,13,23,27,"2,030","2,750",Round of 32,London / Queen's Club,Grass,BO3,17/06/2024,0
Giovanni Mpetshi Perricard,Ben Shelton,67,14,20,21,787,"2,590",Round of 32,London / Queen's Club,Grass,BO3,17/06/2024,1
Holger Rune,Jordan Thompson,15,43,21,30,"2,540","1,051",Round of 32,London / Queen's Club,Grass,BO3,17/06/2024,0
Ugo Humbert,Matteo Arnaldi,16,35,25,23,"2,300","1,220",Round of 32,London / Queen's Club,Grass,BO3,17/06/2024,0
Jack Draper,Mariano Navone,31,29,22,23,"1,371","1,382",Round of 32,London / Queen's Club,Grass,BO3,17/06/2024,1
Billy Harris,Tomas Martin Etcheverry,162,32,29,24,366,"1,290",Round of 32,London / Queen's Club,Grass,BO3,17/06/2024,1
Frances Tiafoe,Rinky Hijikata,28,98,26,23,"1,390",622,Round of 32,London / Queen's Club,Grass,BO3,17/06/2024,0
Sebastian Korda,Karen Khachanov,23,22,23,28,"1,775","1,780",Round of 32,London / Queen's Club,Grass,BO3,17/06/2024,1
Andy Murray,Alexei Popyrin,129,48,37,24,498,966,Round of 32,London / Queen's Club,Grass,BO3,17/06/2024,1
Brandon Nakashima,Daniel Evans,63,59,22,34,820,844,Round of 32,London / Queen's Club,Grass,BO3,17/06/2024,1
Cameron Norrie,Milos Raonic,39,186,28,33,"1,150",335,Round of 32,London / Queen's Club,Grass,BO3,17/06/2024,0
Alejandro Davidovich Fokina,Alejandro Tabilo,33,24,25,27,"1,240","1,639",Round of 32,London / Queen's Club,Grass,BO3,17/06/2024,0
Mackenzie McDonald,Alexei Popyrin,76,48,29,24,723,966,2nd Round Qualifying,London / Queen's Club,Grass,BO3,17/06/2024,0
Giovanni Mpetshi Perricard,Zizou Bergs,67,77,20,25,787,720,2nd Round Qualifying,London / Queen's Club,Grass,BO3,17/06/2024,1
Arthur Rinderknech,Rinky Hijikata,66,98,28,23,792,622,2nd Round Qualifying,London / Queen's Club,Grass,BO3,17/06/2024,0
Thanasi Kokkinakis,Taro Daniel,94,85,28,31,633,680,2nd Round Qualifying,London / Queen's Club,Grass,BO3,17/06/2024,0
Otto Virtanen,Alexei Popyrin,144,48,22,24,412,966,1st Round Qualifying,London / Queen's Club,Grass,BO3,17/06/2024,0
Giovanni Mpetshi Perricard,Aleksandar Vukic,67,80,20,28,787,714,1st Round Qualifying,London / Queen's Club,Grass,BO3,17/06/2024,1
Arthur Rinderknech,Aleksandar Kovacevic,66,84,28,25,792,681,1st Round Qualifying,London / Queen's Club,Grass,BO3,17/06/2024,1
Thanasi Kokkinakis,Luca Nardi,94,72,28,20,633,760,1st Round Qualifying,London / Queen's Club,Grass,BO3,17/06/2024,1
Mackenzie McDonald,Paul Jubb,76,292,29,24,723,191,1st Round Qualifying,London / Queen's Club,Grass,BO3,17/06/2024,1
Arthur Cazaux,Taro Daniel,90,85,21,31,661,680,1st Round Qualifying,London / Queen's Club,Grass,BO3,17/06/2024,0
Henry Searle,Rinky Hijikata,570,98,18,23,66,622,1st Round Qualifying,London / Queen's Club,Grass,BO3,17/06/2024,0
Jan Choinski,Zizou Bergs,177,77,28,25,350,720,1st Round Qualifying,London / Queen's Club,Grass,BO3,17/06/2024,0
Sebastian Ofner,Alejandro Tabilo,52,24,28,27,933,"1,639",Finals,Mallorca,Grass,BO3,23/06/2024,0
Alejandro Tabilo,Gael Monfils,24,38,27,37,"1,639","1,160",Semi-Finals,Mallorca,Grass,BO3,23/06/2024,1
Sebastian Ofner,Paul Jubb,52,292,28,24,933,191,Semi-Finals,Mallorca,Grass,BO3,23/06/2024,1
Ben Shelton,Paul Jubb,14,292,21,24,"2,590",191,Quarter-Finals,Mallorca,Grass,BO3,23/06/2024,0
Jakub Mensik,Alejandro Tabilo,81,24,18,27,688,"1,639",Quarter-Finals,Mallorca,Grass,BO3,23/06/2024,0
Roberto Bautista Agut,Gael Monfils,83,38,36,37,685,"1,160",Quarter-Finals,Mallorca,Grass,BO3,23/06/2024,0
Alex Michelsen,Sebastian Ofner,61,52,19,28,829,933,Quarter-Finals,Mallorca,Grass,BO3,23/06/2024,0
Rinky Hijikata,Ben Shelton,98,14,23,21,622,"2,590",Round of 16,Mallorca,Grass,BO3,23/06/2024,0
Roberto Bautista Agut,Ugo Humbert,83,16,36,25,685,"2,300",Round of 16,Mallorca,Grass,BO3,23/06/2024,1
Alex Michelsen,Adrian Mannarino,61,21,19,35,829,"1,845",Round of 16,Mallorca,Grass,BO3,23/06/2024,1
Alexander Shevchenko,Alejandro Tabilo,58,24,23,27,860,"1,639",Round of 16,Mallorca,Grass,BO3,23/06/2024,0
Luciano Darderi,Sebastian Ofner,34,52,22,28,"1,231",933,Round of 16,Mallorca,Grass,BO3,23/06/2024,0
Gael Monfils,Roberto Carballes Baena,38,62,37,31,"1,160",821,Round of 16,Mallorca,Grass,BO3,23/06/2024,1
Paul Jubb,Adam Walton,292,107,24,25,191,594,Round of 16,Mallorca,Grass,BO3,23/06/2024,1
Jakub Mensik,Fabio Fognini,81,100,18,37,688,617,Round of 16,Mallorca,Grass,BO3,23/06/2024,1
Pedro Martinez,Luciano Darderi,46,34,27,22,975,"1,231",Round of 32,Mallorca,Grass,BO3,23/06/2024,0
Gael Monfils,Dominic Thiem,38,134,37,30,"1,160",483,Round of 32,Mallorca,Grass,BO3,23/06/2024,1
Jakub Mensik,Christopher Eubanks,81,44,18,28,688,"1,005",Round of 32,Mallorca,Grass,BO3,23/06/2024,1
Roberto Bautista Agut,Taro Daniel,83,85,36,31,685,680,Round of 32,Mallorca,Grass,BO3,23/06/2024,1
Roberto Carballes Baena,Pablo Carreno Busta,62,872,31,32,821,21,Round of 32,Mallorca,Grass,BO3,23/06/2024,1
Fabio Fognini,Gijs Brouwer,100,191,37,28,617,317,Round of 32,Mallorca,Grass,BO3,23/06/2024,1
Rinky Hijikata,Luca Nardi,98,72,23,20,622,760,Round of 32,Mallorca,Grass,BO3,23/06/2024,1
Maximilian Marterer,Paul Jubb,86,292,29,24,679,191,Round of 32,Mallorca,Grass,BO3,23/06/2024,0
Alex Michelsen,Nuno Borges,61,51,19,27,829,936,Round of 32,Mallorca,Grass,BO3,23/06/2024,1
Jaume Munar,Sebastian Ofner,60,52,27,28,835,933,Round of 32,Mallorca,Grass,BO3,23/06/2024,0
Alexander Shevchenko,Constant Lestienne,58,91,23,32,860,655,Round of 32,Mallorca,Grass,BO3,23/06/2024,1
Yannick Hanfmann,Adam Walton,92,107,32,25,646,594,Round of 32,Mallorca,Grass,BO3,23/06/2024,0
Paul Jubb,Thiago Monteiro,292,79,24,30,191,715,2nd Round Qualifying,Mallorca,Grass,BO3,23/06/2024,1
Maximilian Marterer,Abdullah Shelbayh,86,223,29,20,679,275,2nd Round Qualifying,Mallorca,Grass,BO3,23/06/2024,1
Constant Lestienne,Gijs Brouwer,91,191,32,28,655,317,2nd Round Qualifying,Mallorca,Grass,BO3,23/06/2024,1
Adam Walton,Daniel Masur,107,299,25,29,594,182,2nd Round Qualifying,Mallorca,Grass,BO3,23/06/2024,1
Thiago Monteiro,Rio Noguchi,79,323,30,25,715,163,1st Round Qualifying,Mallorca,Grass,BO3,23/06/2024,1
Maximilian Marterer,Luke Saville,86,340,29,30,679,151,1st Round Qualifying,Mallorca,Grass,BO3,23/06/2024,1
Constant Lestienne,Michael Geerts,91,350,32,29,655,146,1st Round Qualifying,Mallorca,Grass,BO3,23/06/2024,1
Adam Walton,David Jorda Sanchis,107,314,25,30,594,167,1st Round Qualifying,Mallorca,Grass,BO3,23/06/2024,1
Sebastian Fanselow,Gijs Brouwer,321,191,32,28,164,317,1st Round Qualifying,Mallorca,Grass,BO3,23/06/2024,0
Abdullah Shelbayh,Ramkumar Ramanathan,223,330,20,29,275,157,1st Round Qualifying,Mallorca,Grass,BO3,23/06/2024,1
Paul Jubb,Joan Nadal,292,1908T,24,20,191,1,1st Round Qualifying,Mallorca,Grass,BO3,23/06/2024,1
Hernan Casanova,Daniel Masur,320,299,30,29,164,182,1st Round Qualifying,Mallorca,Grass,BO3,23/06/2024,0
Taylor Fritz,Max Purcell,13,94,26,26,"3,145",627,Finals,Eastbourne,Grass,BO3,24/06/2024,1
Aleksandar Vukic,Taylor Fritz,81,13,28,26,714,"3,145",Semi-Finals,Eastbourne,Grass,BO3,24/06/2024,0
Max Purcell,Billy Harris,94,139,26,29,627,456,Semi-Finals,Eastbourne,Grass,BO3,24/06/2024,1
Juncheng Shang,Taylor Fritz,104,13,19,26,595,"3,145",Quarter-Finals,Eastbourne,Grass,BO3,24/06/2024,0
Flavio Cobolli,Billy Harris,49,139,22,29,955,456,Quarter-Finals,Eastbourne,Grass,BO3,24/06/2024,0
Max Purcell,Miomir Kecmanovic,94,53,26,24,627,920,Quarter-Finals,Eastbourne,Grass,BO3,24/06/2024,1
Yoshihito Nishioka,Aleksandar Vukic,102,81,28,28,603,714,Quarter-Finals,Eastbourne,Grass,BO3,24/06/2024,0
Thiago Seyboth Wild,Taylor Fritz,74,13,24,26,750,"3,145",Round of 16,Eastbourne,Grass,BO3,24/06/2024,0
Aleksandar Vukic,Alexander Bublik,81,23,28,27,714,"1,730",Round of 16,Eastbourne,Grass,BO3,24/06/2024,1
Miomir Kecmanovic,Sebastian Baez,53,18,24,23,920,"2,030",Round of 16,Eastbourne,Grass,BO3,24/06/2024,1
Flavio Cobolli,Giles Hussey,49,359,22,27,955,141,Round of 16,Eastbourne,Grass,BO3,24/06/2024,1
Billy Harris,Charles Broom,139,245,29,26,456,239,Round of 16,Eastbourne,Grass,BO3,24/06/2024,1
Marcos Giron,Yoshihito Nishioka,46,102,30,28,"1,005",603,Round of 16,Eastbourne,Grass,BO3,24/06/2024,0
Max Purcell,Lorenzo Sonego,94,57,26,29,627,869,Round of 16,Eastbourne,Grass,BO3,24/06/2024,1
Juncheng Shang,Emil Ruusuvuori,104,88,19,25,595,668,Round of 16,Eastbourne,Grass,BO3,24/06/2024,1
Marcos Giron,Francisco Cerundolo,46,27,30,25,"1,005","1,565",Round of 32,Eastbourne,Grass,BO3,24/06/2024,1
Giles Hussey,Mariano Navone,359,32,27,23,141,"1,282",Round of 32,Eastbourne,Grass,BO3,24/06/2024,1
Juncheng Shang,Tomas Martin Etcheverry,104,31,19,24,595,"1,290",Round of 32,Eastbourne,Grass,BO3,24/06/2024,1
Arthur Rinderknech,Flavio Cobolli,68,49,28,22,792,955,Round of 32,Eastbourne,Grass,BO3,24/06/2024,0
Billy Harris,Jacob Fearnley,139,271,29,22,456,206,Round of 32,Eastbourne,Grass,BO3,24/06/2024,1
Zhizhen Zhang,Miomir Kecmanovic,33,53,27,24,"1,256",920,Round of 32,Eastbourne,Grass,BO3,24/06/2024,0
Liam Broady,Yoshihito Nishioka,146,102,30,28,404,603,Round of 32,Eastbourne,Grass,BO3,24/06/2024,0
Max Purcell,Laslo Djere,94,52,26,29,627,936,Round of 32,Eastbourne,Grass,BO3,24/06/2024,1
Cameron Norrie,Emil Ruusuvuori,44,88,28,25,"1,070",668,Round of 32,Eastbourne,Grass,BO3,24/06/2024,0
James McCabe,Thiago Seyboth Wild,342,74,20,24,149,750,Round of 32,Eastbourne,Grass,BO3,24/06/2024,0
Lorenzo Sonego,Henry Searle,57,568,29,18,869,66,Round of 32,Eastbourne,Grass,BO3,24/06/2024,1
Aleksandar Vukic,Fabian Marozsan,81,45,28,24,714,"1,047",Round of 32,Eastbourne,Grass,BO3,24/06/2024,1
Yoshihito Nishioka,Aleksandar Vukic,102,81,28,28,603,714,2nd Round Qualifying,Eastbourne,Grass,BO3,24/06/2024,1
Giles Hussey,Juncheng Shang,359,104,27,19,141,595,2nd Round Qualifying,Eastbourne,Grass,BO3,24/06/2024,0
Max Purcell,Henry Searle,94,568,26,18,627,66,2nd Round Qualifying,Eastbourne,Grass,BO3,24/06/2024,1
Charles Broom,James McCabe,245,342,26,20,239,149,2nd Round Qualifying,Eastbourne,Grass,BO3,24/06/2024,0
James McCabe,Mackenzie McDonald,342,80,20,29,149,716,1st Round Qualifying,Eastbourne,Grass,BO3,24/06/2024,1
Aleksandar Vukic,Antoine Bellier,81,323,28,27,714,161,1st Round Qualifying,Eastbourne,Grass,BO3,24/06/2024,1
Aleksandar Kovacevic,Henry Searle,86,568,25,18,681,66,1st Round Qualifying,Eastbourne,Grass,BO3,24/06/2024,0
Giles Hussey,Arthur Cazaux,359,98,27,21,141,616,1st Round Qualifying,Eastbourne,Grass,BO3,24/06/2024,1
Juncheng Shang,Oscar Otte,104,400,19,30,595,117,1st Round Qualifying,Eastbourne,Grass,BO3,24/06/2024,1
Max Purcell,Jan Choinski,94,174,26,28,627,350,1st Round Qualifying,Eastbourne,Grass,BO3,24/06/2024,1
Arthur Fery,Yoshihito Nishioka,243,102,21,28,243,603,1st Round Qualifying,Eastbourne,Grass,BO3,24/06/2024,0
Francisco Comesana,Charles Broom,121,245,23,26,529,239,1st Round Qualifying,Eastbourne,Grass,BO3,24/06/2024,0
Carlos Alcaraz,Novak Djokovic,3,2,21,37,"8,130","8,360",Finals,Wimbledon,Grass,BO5,01/07/2024,1
Novak Djokovic,Lorenzo Musetti,2,25,37,22,"8,360","1,620",Semi-Finals,Wimbledon,Grass,BO5,01/07/2024,1
Daniil Medvedev,Carlos Alcaraz,5,3,28,21,"6,445","8,130",Semi-Finals,Wimbledon,Grass,BO5,01/07/2024,0
Daniil Medvedev,Jannik Sinner,5,1,28,22,"6,445","9,890",Quarter-Finals,Wimbledon,Grass,BO5,01/07/2024,1
Alex de Minaur,Novak Djokovic,9,2,25,37,"3,830","8,360",Quarter-Finals,Wimbledon,Grass,BO5,01/07/2024,0
Carlos Alcaraz,Tommy Paul,3,13,21,27,"8,130","3,100",Quarter-Finals,Wimbledon,Grass,BO5,01/07/2024,1
Taylor Fritz,Lorenzo Musetti,12,25,26,22,"3,350","1,620",Quarter-Finals,Wimbledon,Grass,BO5,01/07/2024,0
Jannik Sinner,Ben Shelton,1,14,22,21,"9,890","2,595",Round of 16,Wimbledon,Grass,BO5,01/07/2024,1
Novak Djokovic,Holger Rune,2,15,37,21,"8,360","2,370",Round of 16,Wimbledon,Grass,BO5,01/07/2024,1
Carlos Alcaraz,Ugo Humbert,3,16,21,26,"8,130","2,300",Round of 16,Wimbledon,Grass,BO5,01/07/2024,1
Alexander Zverev,Taylor Fritz,4,12,27,26,"6,905","3,350",Round of 16,Wimbledon,Grass,BO5,01/07/2024,0
Daniil Medvedev,Grigor Dimitrov,5,10,28,33,"6,445","3,750",Round of 16,Wimbledon,Grass,BO5,01/07/2024,1
Alex de Minaur,Arthur Fils,9,34,25,20,"3,830","1,250",Round of 16,Wimbledon,Grass,BO5,01/07/2024,1
Roberto Bautista Agut,Tommy Paul,112,13,36,27,555,"3,100",Round of 16,Wimbledon,Grass,BO5,01/07/2024,0
Giovanni Mpetshi Perricard,Lorenzo Musetti,58,25,20,22,853,"1,620",Round of 16,Wimbledon,Grass,BO5,01/07/2024,0
Jannik Sinner,Miomir Kecmanovic,1,52,22,24,"9,890",925,Round of 32,Wimbledon,Grass,BO5,01/07/2024,1
Novak Djokovic,Alexei Popyrin,2,47,37,24,"8,360",981,Round of 32,Wimbledon,Grass,BO5,01/07/2024,1
Carlos Alcaraz,Frances Tiafoe,3,29,21,26,"8,130","1,355",Round of 32,Wimbledon,Grass,BO5,01/07/2024,1
Cameron Norrie,Alexander Zverev,42,4,28,27,"1,070","6,905",Round of 32,Wimbledon,Grass,BO5,01/07/2024,0
Jan-Lennard Struff,Daniil Medvedev,41,5,34,28,"1,135","6,445",Round of 32,Wimbledon,Grass,BO5,01/07/2024,0
Alex de Minaur,Lucas Pouille,9,212,25,30,"3,830",284,Round of 32,Wimbledon,Grass,BO5,01/07/2024,1
Grigor Dimitrov,Gael Monfils,10,33,33,37,"3,750","1,260",Round of 32,Wimbledon,Grass,BO5,01/07/2024,1
Alexander Bublik,Tommy Paul,23,13,27,27,"1,730","3,100",Round of 32,Wimbledon,Grass,BO5,01/07/2024,0
Taylor Fritz,Alejandro Tabilo,12,19,26,27,"3,350","1,904",Round of 32,Wimbledon,Grass,BO5,01/07/2024,1
Ben Shelton,Denis Shapovalov,14,121,21,25,"2,595",530,Round of 32,Wimbledon,Grass,BO5,01/07/2024,1
Quentin Halys,Holger Rune,220,15,27,21,272,"2,370",Round of 32,Wimbledon,Grass,BO5,01/07/2024,0
Ugo Humbert,Brandon Nakashima,16,65,26,22,"2,300",825,Round of 32,Wimbledon,Grass,BO5,01/07/2024,1
Lorenzo Musetti,Francisco Comesana,25,122,22,23,"1,620",529,Round of 32,Wimbledon,Grass,BO5,01/07/2024,1
Fabio Fognini,Roberto Bautista Agut,94,112,37,36,635,555,Round of 32,Wimbledon,Grass,BO5,01/07/2024,0
Arthur Fils,Roman Safiullin,34,44,20,26,"1,250","1,045",Round of 32,Wimbledon,Grass,BO5,01/07/2024,1
Giovanni Mpetshi Perricard,Emil Ruusuvuori,58,87,20,25,853,683,Round of 32,Wimbledon,Grass,BO5,01/07/2024,1
Matteo Berrettini,Jannik Sinner,59,1,28,22,845,"9,890",Round of 64,Wimbledon,Grass,BO5,01/07/2024,0
Novak Djokovic,Jacob Fearnley,2,277,37,22,"8,360",206,Round of 64,Wimbledon,Grass,BO5,01/07/2024,1
Carlos Alcaraz,Aleksandar Vukic,3,69,21,28,"8,130",789,Round of 64,Wimbledon,Grass,BO5,01/07/2024,1
Marcos Giron,Alexander Zverev,46,4,30,27,"1,020","6,905",Round of 64,Wimbledon,Grass,BO5,01/07/2024,0
Daniil Medvedev,Alexandre Muller,5,102,28,27,"6,445",601,Round of 64,Wimbledon,Grass,BO5,01/07/2024,1
Hubert Hurkacz,Arthur Fils,7,34,27,20,"4,235","1,250",Round of 64,Wimbledon,Grass,BO5,01/07/2024,0
Fabio Fognini,Casper Ruud,94,8,37,25,635,"4,025",Round of 64,Wimbledon,Grass,BO5,01/07/2024,1
Jaume Munar,Alex de Minaur,63,9,27,25,835,"3,830",Round of 64,Wimbledon,Grass,BO5,01/07/2024,0
Juncheng Shang,Grigor Dimitrov,91,10,19,33,658,"3,750",Round of 64,Wimbledon,Grass,BO5,01/07/2024,0
Stefanos Tsitsipas,Emil Ruusuvuori,11,87,25,25,"3,745",683,Round of 64,Wimbledon,Grass,BO5,01/07/2024,0
Otto Virtanen,Tommy Paul,147,13,23,27,401,"3,100",Round of 64,Wimbledon,Grass,BO5,01/07/2024,0
Taylor Fritz,Arthur Rinderknech,12,76,26,28,"3,350",754,Round of 64,Wimbledon,Grass,BO5,01/07/2024,1
Ben Shelton,Lloyd Harris,14,118,21,27,"2,595",541,Round of 64,Wimbledon,Grass,BO5,01/07/2024,1
Thiago Seyboth Wild,Holger Rune,74,15,24,21,767,"2,370",Round of 64,Wimbledon,Grass,BO5,01/07/2024,0
Botic van de Zandschulp,Ugo Humbert,97,16,28,26,618,"2,300",Round of 64,Wimbledon,Grass,BO5,01/07/2024,0
Karen Khachanov,Quentin Halys,22,220,28,27,"1,780",272,Round of 64,Wimbledon,Grass,BO5,01/07/2024,0
Alexander Bublik,Arthur Cazaux,23,98,27,21,"1,730",616,Round of 64,Wimbledon,Grass,BO5,01/07/2024,1
Alejandro Tabilo,Flavio Cobolli,19,48,27,22,"1,904",980,Round of 64,Wimbledon,Grass,BO5,01/07/2024,1
Lorenzo Musetti,Luciano Darderi,25,37,22,22,"1,620","1,236",Round of 64,Wimbledon,Grass,BO5,01/07/2024,1
Tallon Griekspoor,Miomir Kecmanovic,27,52,27,24,"1,470",925,Round of 64,Wimbledon,Grass,BO5,01/07/2024,0
Jack Draper,Cameron Norrie,28,42,22,28,"1,461","1,070",Round of 64,Wimbledon,Grass,BO5,01/07/2024,0
Borna Coric,Frances Tiafoe,89,29,27,26,664,"1,355",Round of 64,Wimbledon,Grass,BO5,01/07/2024,0
Tomas Martin Etcheverry,Alexei Popyrin,31,47,24,24,"1,290",981,Round of 64,Wimbledon,Grass,BO5,01/07/2024,0
Zhizhen Zhang,Jan-Lennard Struff,38,41,27,34,"1,221","1,135",Round of 64,Wimbledon,Grass,BO5,01/07/2024,0
Lorenzo Sonego,Roberto Bautista Agut,54,112,29,36,881,555,Round of 64,Wimbledon,Grass,BO5,01/07/2024,0
Adam Walton,Francisco Comesana,101,122,25,23,607,529,Round of 64,Wimbledon,Grass,BO5,01/07/2024,0
Gael Monfils,Stan Wawrinka,33,95,37,39,"1,260",633,Round of 64,Wimbledon,Grass,BO5,01/07/2024,1
